hpo_id,hpo_name,depth,organ,match_type,system,keyword_matched,source
HP:0000769,Abnormality of the breast,2,breast,contains,,,organ_only
HP:0000119,Abnormality of the genitourinary system,2,urinary_bladder,contains,,,organ_only
HP:0033127,Abnormality of the musculoskeletal system,2,skeletal_muscle,contains,,,organ_only
HP:0005561,Abnormal bone marrow cell morphology,3,bone,contains,,,organ_only
HP:0005561,Abnormal bone marrow cell morphology,3,bone_marrow,contains,,,organ_only
HP:0031093,Abnormal breast morphology,3,breast,contains,,,organ_only
HP:0031094,Abnormal breast physiology,3,breast,contains,,,organ_only
HP:0001881,Abnormal leukocyte morphology,3,leukocyte,contains,,,organ_only
HP:0033796,Abnormal leukocyte physiology,3,leukocyte,contains,,,organ_only
HP:0011843,Abnormal musculoskeletal physiology,3,skeletal_muscle,contains,,,organ_only
HP:3000013,Abnormal platysma muscle morphology,3,skeletal_muscle,contains,,,organ_only
HP:3000013,Abnormal platysma muscle morphology,3,smooth_muscle,contains,,,organ_only
HP:0011138,Abnormal skin adnexa morphology,3,skin,contains,,,organ_only
HP:0003549,Abnormality of connective tissue,3,adipose_tissue,contains,,,organ_only
HP:0040068,Abnormality of limb bone,3,bone,contains,,,organ_only
HP:0040068,Abnormality of limb bone,3,bone_marrow,contains,,,organ_only
HP:0025276,Abnormality of skin adnexa physiology,3,skin,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,adrenal_gland,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,parotid_gland,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,pituitary_gland,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,renal_cortex,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,salivary_gland,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,submandibular_gland,contains,,,organ_only
HP:0000834,Abnormality of the adrenal glands,3,thyroid_gland,contains,,,organ_only
HP:0000864,Abnormality of the hypothalamus-pituitary axis,3,pituitary_gland,contains,,,organ_only
HP:0100763,Abnormality of the lymphatic system,3,lymph_node,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,adrenal_gland,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,parotid_gland,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,pituitary_gland,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,salivary_gland,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,submandibular_gland,contains,,,organ_only
HP:0000828,Abnormality of the parathyroid gland,3,thyroid_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,adrenal_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,parotid_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,pituitary_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,salivary_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,submandibular_gland,contains,,,organ_only
HP:0012680,Abnormality of the pineal gland,3,thyroid_gland,contains,,,organ_only
HP:0000924,Abnormality of the skeletal system,3,skeletal_muscle,contains,,,organ_only
HP:0000951,Abnormality of the skin,3,skin,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,adrenal_gland,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,parotid_gland,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,pituitary_gland,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,salivary_gland,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,submandibular_gland,contains,,,organ_only
HP:0000820,Abnormality of the thyroid gland,3,thyroid_gland,contains,,,organ_only
HP:0000079,Abnormality of the urinary system,3,urinary_bladder,contains,,,organ_only
HP:0009124,Abnormal adipose tissue morphology,4,adipose_tissue,contains,,,organ_only
HP:0011732,Abnormal adrenal morphology,4,adrenal_gland,contains,,,organ_only
HP:0011732,Abnormal adrenal morphology,4,renal_cortex,contains,,,organ_only
HP:0025590,Abnormal extraocular muscle physiology,4,skeletal_muscle,contains,,,organ_only
HP:0025590,Abnormal extraocular muscle physiology,4,smooth_muscle,contains,,,organ_only
HP:0001627,Abnormal heart morphology,4,heart,contains,,,organ_only
HP:0031653,Abnormal heart valve physiology,4,heart,contains,,,organ_only
HP:0031653,Abnormal heart valve physiology,4,mitral_valve,contains,,,organ_only
HP:0031653,Abnormal heart valve physiology,4,pulmonary_valve,contains,,,organ_only
HP:0031653,Abnormal heart valve physiology,4,tricuspid_valve,contains,,,organ_only
HP:0002813,Abnormal limb bone morphology,4,bone,contains,,,organ_only
HP:0002813,Abnormal limb bone morphology,4,bone_marrow,contains,,,organ_only
HP:0040069,Abnormal lower limb bone morphology,4,bone,contains,,,organ_only
HP:0040069,Abnormal lower limb bone morphology,4,bone_marrow,contains,,,organ_only
HP:0002733,Abnormal lymph node morphology,4,lymph_node,contains,,,organ_only
HP:0020278,Abnormal lymph-node lymphoctye nuclear morphology,4,lymph_node,contains,,,organ_only
HP:0020284,Abnormal lymph-node lymphocyte cytoplasm morphology,4,lymph_node,contains,,,organ_only
HP:0100766,Abnormal lymphatic vessel morphology,4,lymph_node,contains,,,organ_only
HP:0004332,Abnormal lymphocyte morphology,4,lymph_node,contains,,,organ_only
HP:0031409,Abnormal lymphocyte physiology,4,lymph_node,contains,,,organ_only
HP:0011804,Abnormal muscle physiology,4,skeletal_muscle,contains,,,organ_only
HP:0011804,Abnormal muscle physiology,4,smooth_muscle,contains,,,organ_only
HP:0010974,Abnormal myeloid leukocyte morphology,4,leukocyte,contains,,,organ_only
HP:3000050,Abnormal odontoid tissue morphology,4,adipose_tissue,contains,,,organ_only
HP:0011766,Abnormal parathyroid morphology,4,thyroid_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,adrenal_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,parotid_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,pituitary_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,salivary_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,submandibular_gland,contains,,,organ_only
HP:0012503,Abnormal pituitary gland morphology,4,thyroid_gland,contains,,,organ_only
HP:0034977,Abnormal pituitary stalk morphology,4,pituitary_gland,contains,,,organ_only
HP:0100767,Abnormal placenta morphology,4,placenta,contains,,,organ_only
HP:0011409,Abnormal placental membrane morphology,4,placenta,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,adrenal_gland,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,parotid_gland,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,pituitary_gland,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,salivary_gland,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,submandibular_gland,contains,,,organ_only
HP:0032226,Abnormal sebaceous gland morphology,4,thyroid_gland,contains,,,organ_only
HP:0011842,Abnormal skeletal morphology,4,skeletal_muscle,contains,,,organ_only
HP:0011805,Abnormal skeletal muscle morphology,4,skeletal_muscle,contains,,,organ_only
HP:0011805,Abnormal skeletal muscle morphology,4,smooth_muscle,contains,,,organ_only
HP:0011121,Abnormal skin morphology,4,skin,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,adrenal_gland,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,parotid_gland,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,pituitary_gland,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,salivary_gland,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,submandibular_gland,contains,,,organ_only
HP:0000971,Abnormal sweat gland morphology,4,thyroid_gland,contains,,,organ_only
HP:0011772,Abnormal thyroid morphology,4,thyroid_gland,contains,,,organ_only
HP:0040070,Abnormal upper limb bone morphology,4,bone,contains,,,organ_only
HP:0040070,Abnormal upper limb bone morphology,4,bone_marrow,contains,,,organ_only
HP:0011733,Abnormality of adrenal physiology,4,adrenal_gland,contains,,,organ_only
HP:0011733,Abnormality of adrenal physiology,4,renal_cortex,contains,,,organ_only
HP:0012129,Abnormality of bone marrow stromal cells,4,bone,contains,,,organ_only
HP:0012129,Abnormality of bone marrow stromal cells,4,bone_marrow,contains,,,organ_only
HP:0100886,Abnormality of globe location,4,temporal_lobe,contains,,,organ_only
HP:0100887,Abnormality of globe size,4,temporal_lobe,contains,,,organ_only
HP:0012145,Abnormality of multiple cell lineages in the bone marrow,4,bone,contains,,,organ_only
HP:0012145,Abnormality of multiple cell lineages in the bone marrow,4,bone_marrow,contains,,,organ_only
HP:0040172,Abnormality of occipitofrontalis muscle,4,frontal_cortex,contains,,,organ_only
HP:0040172,Abnormality of occipitofrontalis muscle,4,skeletal_muscle,contains,,,organ_only
HP:0040172,Abnormality of occipitofrontalis muscle,4,smooth_muscle,contains,,,organ_only
HP:0000927,Abnormality of skeletal maturation,4,skeletal_muscle,contains,,,organ_only
HP:0011122,Abnormality of skin physiology,4,skin,contains,,,organ_only
HP:0010936,Abnormality of the lower urinary tract,4,urinary_bladder,contains,,,organ_only
HP:0011767,Abnormality of the parathyroid physiology,4,thyroid_gland,contains,,,organ_only
HP:0001743,Abnormality of the spleen,4,spleen,contains,,,organ_only
HP:0100765,Abnormality of the tonsils,4,tonsil,contains,,,organ_only
HP:0010935,Abnormality of the upper urinary tract,4,urinary_bladder,contains,,,organ_only
HP:0011277,Abnormality of the urinary system physiology,4,urinary_bladder,contains,,,organ_only
HP:0002926,Abnormality of thyroid physiology,4,thyroid_gland,contains,,,organ_only
