module_id,organ,value
1,retina,95.0
1,brain,72.0
1,nerve,85.0
1,eye,90.0
1,cerebral_cortex,60.0
1,spinal_cord,55.0
2,kidney,80.0
2,liver,65.0
2,bone,70.0
2,bone_marrow,75.0
2,small_intestine,60.0
2,skin,55.0
3,heart,88.0
3,left_ventricle,82.0
3,skeletal_muscle,75.0
3,smooth_muscle,65.0
3,nerve,70.0
3,brain,60.0
4,brain,92.0
4,cerebral_cortex,85.0
4,nerve,90.0
4,spinal_cord,78.0
4,retina,70.0
4,eye,68.0
5,kidney,76.0
5,renal_cortex,72.0
5,urinary_bladder,55.0
5,liver,60.0
5,pancreas,48.0
5,bone,50.0
