gene,HP:SYNTH_001,HP:SYNTH_002,HP:SYNTH_003,HP:SYNTH_004,HP:SYNTH_005,HP:SYNTH_006,HP:SYNTH_007,HP:SYNTH_008,HP:SYNTH_009,HP:SYNTH_010,HP:SYNTH_011,HP:SYNTH_012,HP:SYNTH_013,HP:SYNTH_014,HP:SYNTH_015,HP:SYNTH_016,HP:SYNTH_017,HP:SYNTH_018,HP:SYNTH_019,HP:SYNTH_020,HP:SYNTH_021,HP:SYNTH_022,HP:SYNTH_023,HP:SYNTH_024,HP:SYNTH_025,HP:SYNTH_026,HP:SYNTH_027,HP:SYNTH_028,HP:SYNTH_029,HP:SYNTH_030,HP:SYNTH_031,HP:SYNTH_032,HP:SYNTH_033,HP:SYNTH_034,HP:SYNTH_035,HP:SYNTH_036,HP:SYNTH_037,HP:SYNTH_038,HP:SYNTH_039,HP:SYNTH_040,HP:SYNTH_041,HP:SYNTH_042,HP:SYNTH_043,HP:SYNTH_044,HP:SYNTH_045,HP:SYNTH_046,HP:SYNTH_047,HP:SYNTH_048,HP:SYNTH_049,HP:SYNTH_050,HP:SYNTH_051,HP:SYNTH_052,HP:SYNTH_053,HP:SYNTH_054,HP:SYNTH_055,HP:SYNTH_056,HP:SYNTH_057,HP:SYNTH_058,HP:SYNTH_059,HP:SYNTH_060
GENE_A01,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GENE_A02,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GENE_A03,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GENE_A04,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENE_A05,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENE_A06,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GENE_A07,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENE_A08,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GENE_A09,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENE_A10,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
