,GENE_A01,GENE_A02,GENE_A03,GENE_A04,GENE_A05,GENE_A06,GENE_A07,GENE_A08,GENE_A10,GENE_B01,GENE_B02,GENE_B03,GENE_B04,GENE_B05,GENE_B06,GENE_B07,GENE_B08,GENE_B09,GENE_B10,GENE_C01,GENE_C02,GENE_C03,GENE_C04,GENE_C05,GENE_C06,GENE_C07,GENE_C08,GENE_C09,GENE_C10,GENE_D01,GENE_D02,GENE_D03,GENE_D04,GENE_D05,GENE_D06,GENE_D07,GENE_D08,GENE_D09,GENE_D10
GENE_A01,1.0,1.0,0.6904761904761904,0.1,0.7000000000000001,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.02040816326530612,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE_A02,1.0,1.0,0.6904761904761904,0.1,0.7000000000000001,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.02040816326530612,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE_A03,0.6904761904761904,0.6904761904761904,1.0,0.06666666666666667,0.5428571428571429,0.22181818181818183,0.6904761904761904,0.6904761904761904,0.6904761904761904,0.05238095238095238,0.0441025641025641,0.05238095238095238,0.04945054945054945,0.05619047619047619,0.04170591313448456,0.045054945054945054,0.04285714285714286,0.33683935112506536,0.0441025641025641,0.4778679653679654,0.26139971139971135,0.475139146567718,0.3345454545454546,0.3181818181818182,0.520995670995671,0.5482683982683983,0.577922077922078,0.1,0.5536796536796537,0.05555555555555556,0.03333333333333333,0.04,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.03571428571428571,0.0,0.022222222222222223
GENE_A04,0.1,0.1,0.06666666666666667,1.0,0.7000000000000001,0.5505050505050505,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.04545454545454545,0.045454545454545456,0.06060606060606061,0.03636363636363636,0.03636363636363636,0.045454545454545456,0.06666666666666667,0.0,0.46675324675324675,0.12554112554112554,0.07828282828282829,0.09696969696969697,0.1111111111111111,0.07943722943722943,0.09696969696969697,0.07407407407407407,0.1074074074074074,0.11754689754689754
GENE_A05,0.7000000000000001,0.7000000000000001,0.5428571428571429,0.7000000000000001,1.0,0.4604040404040404,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.040584415584415584,0.0,0.059369202226345084,0.03636363636363636,0.045454545454545456,0.05411255411255411,0.05411255411255411,0.06493506493506493,0.05,0.02857142857142857,0.4056277056277056,0.09415584415584416,0.06262626262626263,0.07272727272727272,0.07407407407407407,0.06808905380333952,0.07272727272727272,0.05555555555555555,0.08055555555555555,0.09795574795574795
GENE_A06,0.05,0.05,0.22181818181818183,0.5505050505050505,0.4604040404040404,1.0,0.05,0.05,0.05,0.03076923076923077,0.025641025641025644,0.03076923076923077,0.023809523809523808,0.04059829059829059,0.030448717948717945,0.027777777777777776,0.027777777777777776,0.14408508158508157,0.025641025641025644,0.4531036864370198,0.25873015873015875,0.4542929292929293,0.5372312872312871,0.5335664335664335,0.4825618825618826,0.5254190254190254,0.5203962703962705,0.17272727272727276,0.27575757575757576,0.39486703772418064,0.13714285714285715,0.4052706552706553,0.1393939393939394,0.5470085470085471,0.15200216450216447,0.1393939393939394,0.45427350427350427,0.473970473970474,0.38730317301745876
GENE_A07,1.0,1.0,0.6904761904761904,0.1,0.7000000000000001,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.02040816326530612,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE_A08,1.0,1.0,0.6904761904761904,0.1,0.7000000000000001,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.02040816326530612,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE_A10,1.0,1.0,0.6904761904761904,0.1,0.7000000000000001,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.02040816326530612,0.0,0.023809523809523808,0.0,0.0,0.02857142857142857,0.02857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE_B01,0.0,0.0,0.05238095238095238,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,1.0,0.6072727272727273,1.0,0.5787878787878787,0.8800000000000001,0.513961038961039,0.37454545454545457,0.5777272727272728,0.6959183673469388,0.6072727272727273,0.06229395604395604,0.4373154623154623,0.06972789115646258,0.04871794871794871,0.038461538461538464,0.0507936507936508,0.06361416361416361,0.05838827838827838,0.0,0.083003663003663,0.022222222222222223,0.03333333333333333,0.5014452214452214,0.03333333333333333,0.05128205128205129,0.09935064935064933,0.03333333333333333,0.28173076923076923,0.038461538461538464,0.03675213675213675
GENE_B02,0.0,0.0,0.0441025641025641,0.0,0.0,0.025641025641025644,0.0,0.0,0.0,0.6072727272727273,1.0,0.6072727272727273,0.744011544011544,0.5920875420875421,0.8234126984126984,0.8074074074074075,0.3431697931697932,0.6999111999112,1.0,0.04919278252611586,0.14177489177489178,0.046794871794871795,0.0,0.0,0.06324786324786325,0.0315018315018315,0.03675213675213675,0.0611111111111111,0.03675213675213675,0.06416361416361416,0.07316239316239316,0.4710955710955711,0.062051282051282054,0.038461538461538464,0.4211864524364525,0.062051282051282054,0.30316239316239313,0.0641025641025641,0.07661782661782661
GENE_B03,0.0,0.0,0.05238095238095238,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,1.0,0.6072727272727273,1.0,0.5787878787878787,0.8800000000000001,0.513961038961039,0.37454545454545457,0.5777272727272728,0.6959183673469388,0.6072727272727273,0.06229395604395604,0.4373154623154623,0.06972789115646258,0.04871794871794871,0.038461538461538464,0.0507936507936508,0.06361416361416361,0.05838827838827838,0.0,0.083003663003663,0.022222222222222223,0.03333333333333333,0.5014452214452214,0.03333333333333333,0.05128205128205129,0.09935064935064933,0.03333333333333333,0.28173076923076923,0.038461538461538464,0.03675213675213675
GENE_B04,0.0,0.0,0.04945054945054945,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.5787878787878787,0.744011544011544,0.5787878787878787,1.0,0.7349206349206349,0.7873015873015873,0.9142857142857144,0.71859410430839,0.7990231990231991,0.744011544011544,0.08077533577533577,0.36567599067599066,0.0736060236060236,0.03479853479853479,0.025641025641025644,0.07677045177045178,0.05860805860805861,0.05416012558869702,0.05092592592592592,0.0717425431711146,0.047809829059829057,0.04985754985754986,0.26380286380286383,0.04059829059829059,0.03333333333333333,0.38667752001085337,0.04059829059829059,0.537962962962963,0.05555555555555555,0.0686431623931624
GENE_B05,0.0,0.0,0.05619047619047619,0.0,0.0,0.04059829059829059,0.0,0.0,0.0,0.8800000000000001,0.5920875420875421,0.8800000000000001,0.7349206349206349,1.0,0.6787698412698413,0.5907407407407407,0.774891774891775,0.814484126984127,0.5920875420875421,0.0633089133089133,0.431984681984682,0.06994047619047619,0.04059829059829059,0.03076923076923077,0.05374149659863946,0.06473050758765043,0.06056166056166056,0.0,0.08107448107448108,0.019047619047619046,0.026666666666666665,0.46060606060606063,0.026666666666666665,0.06089743589743589,0.1278409090909091,0.026666666666666665,0.5466666666666666,0.04871794871794871,0.044322344322344324
GENE_B06,0.0,0.0,0.04170591313448456,0.0,0.0,0.030448717948717945,0.0,0.0,0.0,0.513961038961039,0.8234126984126984,0.513961038961039,0.7873015873015873,0.6787698412698413,1.0,0.8357142857142856,0.688510101010101,0.7476923076923077,0.8234126984126984,0.04674214674214674,0.17264309764309763,0.04457875457875458,0.0,0.0,0.05712929046262379,0.032437932437932436,0.03649267399267399,0.04365079365079365,0.03649267399267399,0.049905033238366564,0.052258852258852254,0.3992618492618492,0.044322344322344324,0.04059829059829059,0.38123487623487623,0.044322344322344324,0.48049886621315185,0.05860805860805861,0.06956315289648624
GENE_B07,0.0,0.0,0.045054945054945054,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.37454545454545457,0.8074074074074075,0.37454545454545457,0.9142857142857144,0.5907407407407407,0.8357142857142856,1.0,0.5716931216931217,0.6989010989010989,0.8074074074074075,0.04972188305521638,0.15216450216450217,0.04739010989010989,0.0,0.0,0.06392813535670679,0.03218210361067504,0.037545787545787544,0.0611111111111111,0.037545787545787544,0.05463980463980463,0.059829059829059825,0.24716394716394716,0.04871794871794871,0.041666666666666664,0.42459554334554334,0.04871794871794871,0.5655555555555555,0.06666666666666667,0.07844932844932846
GENE_B08,0.0,0.0,0.04285714285714286,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.5777272727272728,0.3431697931697932,0.5777272727272728,0.71859410430839,0.774891774891775,0.688510101010101,0.5716931216931217,1.0,0.6456529581529582,0.3431697931697932,0.0559015059015059,0.39789377289377287,0.05327380952380952,0.04059829059829059,0.03076923076923077,0.04421768707482993,0.05520669806384092,0.04945054945054945,0.0,0.06996336996336996,0.0,0.0,0.19528619528619529,0.0,0.041666666666666664,0.10327380952380952,0.0,0.5538095238095238,0.03333333333333333,0.023809523809523808
GENE_B09,0.023809523809523808,0.023809523809523808,0.33683935112506536,0.0,0.02040816326530612,0.14408508158508157,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.6959183673469388,0.6999111999112,0.6959183673469388,0.7990231990231991,0.814484126984127,0.7476923076923077,0.6989010989010989,0.6456529581529582,1.0,0.6999111999112,0.3696848605939515,0.4936026936026936,0.35695637695637694,0.21950757575757576,0.1928071928071928,0.37254412254412256,0.3907259407259407,0.38876540126540127,0.05714285714285715,0.3764985014985015,0.022222222222222223,0.028571428571428574,0.4037878787878788,0.028571428571428574,0.04059829059829059,0.25512987012987015,0.028571428571428574,0.46417233560090704,0.03479853479853479,0.04188034188034188
GENE_B10,0.0,0.0,0.0441025641025641,0.0,0.0,0.025641025641025644,0.0,0.0,0.0,0.6072727272727273,1.0,0.6072727272727273,0.744011544011544,0.5920875420875421,0.8234126984126984,0.8074074074074075,0.3431697931697932,0.6999111999112,1.0,0.04919278252611586,0.14177489177489178,0.046794871794871795,0.0,0.0,0.06324786324786325,0.0315018315018315,0.03675213675213675,0.0611111111111111,0.03675213675213675,0.06416361416361416,0.07316239316239316,0.4710955710955711,0.062051282051282054,0.038461538461538464,0.4211864524364525,0.062051282051282054,0.30316239316239313,0.0641025641025641,0.07661782661782661
GENE_C01,0.02040816326530612,0.02040816326530612,0.4778679653679654,0.025974025974025976,0.040584415584415584,0.4531036864370198,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.06229395604395604,0.04919278252611586,0.06229395604395604,0.08077533577533577,0.0633089133089133,0.04674214674214674,0.04972188305521638,0.0559015059015059,0.3696848605939515,0.04919278252611586,1.0,0.7305555555555555,0.8037190082644627,0.7925685425685426,0.6981376262626262,0.8928571428571429,0.8678571428571429,0.792283950617284,0.38938492063492064,0.7938271604938272,0.10945276945276945,0.08472360972360972,0.07075887075887076,0.10456487956487956,0.02197802197802198,0.31454151908697364,0.10456487956487956,0.03708791208791209,0.07478632478632478,0.10665556665556666
GENE_C02,0.0,0.0,0.26139971139971135,0.0,0.0,0.25873015873015875,0.0,0.0,0.0,0.4373154623154623,0.14177489177489178,0.4373154623154623,0.36567599067599066,0.431984681984682,0.17264309764309763,0.15216450216450217,0.39789377289377287,0.4936026936026936,0.14177489177489178,0.7305555555555555,1.0,0.627384960718294,0.7239229024943309,0.5938390313390314,0.5271825396825397,0.6834325396825396,0.5661477411477411,0.12380952380952381,0.7063492063492064,0.032342657342657344,0.04312354312354313,0.14085914085914086,0.04312354312354313,0.0,0.11115921115921114,0.04312354312354313,0.13333333333333333,0.0,0.032342657342657344
GENE_C03,0.023809523809523808,0.023809523809523808,0.475139146567718,0.04545454545454545,0.059369202226345084,0.4542929292929293,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.06972789115646258,0.046794871794871795,0.06972789115646258,0.0736060236060236,0.06994047619047619,0.04457875457875458,0.04739010989010989,0.05327380952380952,0.35695637695637694,0.046794871794871795,0.8037190082644627,0.627384960718294,1.0,0.6825049950049951,0.5645382395382396,0.752164502164502,0.7783882783882784,0.6871527777777777,0.29183673469387755,0.6919191919191919,0.3795907795907796,0.4001665001665002,0.3180944055944056,0.4001665001665002,0.06837606837606837,0.4119780219780219,0.4001665001665002,0.07901622187336474,0.17765567765567766,0.3864542864542864
GENE_C04,0.0,0.0,0.3345454545454546,0.045454545454545456,0.03636363636363636,0.5372312872312871,0.0,0.0,0.0,0.04871794871794871,0.0,0.04871794871794871,0.03479853479853479,0.04059829059829059,0.0,0.0,0.04059829059829059,0.21950757575757576,0.0,0.7925685425685426,0.7239229024943309,0.6825049950049951,1.0,0.9111111111111111,0.7435064935064936,0.9220779220779222,0.8350168350168351,0.16,0.6379268879268879,0.04795204795204795,0.0441025641025641,0.05128205128205129,0.0441025641025641,0.038461538461538464,0.10961538461538461,0.0441025641025641,0.03076923076923077,0.03076923076923077,0.04395604395604396
GENE_C05,0.0,0.0,0.3181818181818182,0.06060606060606061,0.045454545454545456,0.5335664335664335,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.025641025641025644,0.03076923076923077,0.0,0.0,0.03076923076923077,0.1928071928071928,0.0,0.6981376262626262,0.5938390313390314,0.5645382395382396,0.9111111111111111,1.0,0.6183501683501683,0.8350168350168351,0.890909090909091,0.125,0.6659090909090909,0.04141414141414142,0.03333333333333333,0.0441025641025641,0.03333333333333333,0.05128205128205129,0.08095238095238096,0.03333333333333333,0.038461538461538464,0.038461538461538464,0.03675213675213675
GENE_C06,0.02857142857142857,0.02857142857142857,0.520995670995671,0.03636363636363636,0.05411255411255411,0.4825618825618826,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0507936507936508,0.06324786324786325,0.0507936507936508,0.07677045177045178,0.05374149659863946,0.05712929046262379,0.06392813535670679,0.04421768707482993,0.37254412254412256,0.06324786324786325,0.8928571428571429,0.5271825396825397,0.752164502164502,0.7435064935064936,0.6183501683501683,1.0,0.84375,0.7507936507936508,0.4787037037037037,0.581859410430839,0.12545232545232546,0.0978132978132978,0.07798867798867799,0.12426832426832428,0.03076923076923077,0.35745550745550747,0.12426832426832428,0.04945054945054945,0.09971509971509972,0.12195582195582196
GENE_C07,0.02857142857142857,0.02857142857142857,0.5482683982683983,0.03636363636363636,0.05411255411255411,0.5254190254190254,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.06361416361416361,0.0315018315018315,0.06361416361416361,0.05860805860805861,0.06473050758765043,0.032437932437932436,0.03218210361067504,0.05520669806384092,0.3907259407259407,0.0315018315018315,0.8678571428571429,0.6834325396825396,0.7783882783882784,0.9220779220779222,0.8350168350168351,0.84375,1.0,0.9365079365079365,0.16666666666666666,0.7675736961451248,0.0502913752913753,0.04786324786324786,0.063003663003663,0.04786324786324786,0.03076923076923077,0.11965811965811965,0.04786324786324786,0.04945054945054945,0.025641025641025644,0.046794871794871795
GENE_C08,0.03571428571428571,0.03571428571428571,0.577922077922078,0.045454545454545456,0.06493506493506493,0.5203962703962705,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.05838827838827838,0.03675213675213675,0.05838827838827838,0.05416012558869702,0.06056166056166056,0.03649267399267399,0.037545787545787544,0.04945054945054945,0.38876540126540127,0.03675213675213675,0.792283950617284,0.5661477411477411,0.6871527777777777,0.8350168350168351,0.890909090909091,0.7507936507936508,0.9365079365079365,1.0,0.13999999999999999,0.8125,0.045021645021645025,0.04,0.058974358974358966,0.04,0.038461538461538464,0.09583333333333333,0.04,0.05934065934065934,0.03076923076923077,0.041025641025641026
GENE_C09,0.0,0.0,0.1,0.06666666666666667,0.05,0.17272727272727276,0.0,0.0,0.0,0.0,0.0611111111111111,0.0,0.05092592592592592,0.0,0.04365079365079365,0.0611111111111111,0.0,0.05714285714285715,0.0611111111111111,0.38938492063492064,0.12380952380952381,0.29183673469387755,0.16,0.125,0.4787037037037037,0.16666666666666666,0.13999999999999999,1.0,0.12857142857142856,0.5328703703703704,0.3794642857142857,0.2545454545454546,0.6805555555555556,0.12121212121212122,0.7123015873015872,0.6805555555555556,0.09090909090909091,0.601010101010101,0.546506734006734
GENE_C10,0.03571428571428571,0.03571428571428571,0.5536796536796537,0.0,0.02857142857142857,0.27575757575757576,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.083003663003663,0.03675213675213675,0.083003663003663,0.0717425431711146,0.08107448107448108,0.03649267399267399,0.037545787545787544,0.06996336996336996,0.3764985014985015,0.03675213675213675,0.7938271604938272,0.7063492063492064,0.6919191919191919,0.6379268879268879,0.6659090909090909,0.581859410430839,0.7675736961451248,0.8125,0.12857142857142856,1.0,0.0354978354978355,0.0496969696969697,0.05252525252525253,0.0496969696969697,0.0,0.09172077922077922,0.0496969696969697,0.02857142857142857,0.0,0.0354978354978355
GENE_D01,0.04,0.04,0.05555555555555556,0.46675324675324675,0.4056277056277056,0.39486703772418064,0.04,0.04,0.04,0.022222222222222223,0.06416361416361416,0.022222222222222223,0.047809829059829057,0.019047619047619046,0.049905033238366564,0.05463980463980463,0.0,0.022222222222222223,0.06416361416361416,0.10945276945276945,0.032342657342657344,0.3795907795907796,0.04795204795204795,0.04141414141414142,0.12545232545232546,0.0502913752913753,0.045021645021645025,0.5328703703703704,0.0354978354978355,1.0,0.7738095238095237,0.47994227994227995,0.7666666666666666,0.15050505050505053,0.7195767195767195,0.7666666666666666,0.12542087542087543,0.5279882154882155,0.7905844155844155
GENE_D02,0.0,0.0,0.03333333333333333,0.12554112554112554,0.09415584415584416,0.13714285714285715,0.0,0.0,0.0,0.03333333333333333,0.07316239316239316,0.03333333333333333,0.04985754985754986,0.026666666666666665,0.052258852258852254,0.059829059829059825,0.0,0.028571428571428574,0.07316239316239316,0.08472360972360972,0.04312354312354313,0.4001665001665002,0.0441025641025641,0.03333333333333333,0.0978132978132978,0.04786324786324786,0.04,0.3794642857142857,0.0496969696969697,0.7738095238095237,1.0,0.5466666666666666,0.75,0.14814814814814814,0.6791383219954649,0.75,0.1111111111111111,0.38541666666666663,0.7777777777777777
GENE_D03,0.0,0.0,0.04,0.07828282828282829,0.06262626262626263,0.4052706552706553,0.0,0.0,0.0,0.5014452214452214,0.4710955710955711,0.5014452214452214,0.26380286380286383,0.46060606060606063,0.3992618492618492,0.24716394716394716,0.19528619528619529,0.4037878787878788,0.4710955710955711,0.07075887075887076,0.14085914085914086,0.3180944055944056,0.05128205128205129,0.0441025641025641,0.07798867798867799,0.063003663003663,0.058974358974358966,0.2545454545454546,0.05252525252525253,0.47994227994227995,0.5466666666666666,1.0,0.5496969696969697,0.5608974358974359,0.4772727272727273,0.5496969696969697,0.5333333333333334,0.6153846153846153,0.7252747252747253
GENE_D04,0.0,0.0,0.03333333333333333,0.09696969696969697,0.07272727272727272,0.1393939393939394,0.0,0.0,0.0,0.03333333333333333,0.062051282051282054,0.03333333333333333,0.04059829059829059,0.026666666666666665,0.044322344322344324,0.04871794871794871,0.0,0.028571428571428574,0.062051282051282054,0.10456487956487956,0.04312354312354313,0.4001665001665002,0.0441025641025641,0.03333333333333333,0.12426832426832428,0.04786324786324786,0.04,0.6805555555555556,0.0496969696969697,0.7666666666666666,0.75,0.5496969696969697,1.0,0.17676767676767677,0.6865079365079365,1.0,0.13257575757575757,0.6704545454545454,0.7803030303030303
GENE_D05,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.5470085470085471,0.0,0.0,0.0,0.05128205128205129,0.038461538461538464,0.05128205128205129,0.03333333333333333,0.06089743589743589,0.04059829059829059,0.041666666666666664,0.041666666666666664,0.04059829059829059,0.038461538461538464,0.02197802197802198,0.0,0.06837606837606837,0.038461538461538464,0.05128205128205129,0.03076923076923077,0.03076923076923077,0.038461538461538464,0.12121212121212122,0.0,0.15050505050505053,0.14814814814814814,0.5608974358974359,0.17676767676767677,1.0,0.1069023569023569,0.17676767676767677,0.6944444444444443,0.7272727272727272,0.491919191919192
GENE_D06,0.0,0.0,0.06666666666666667,0.07943722943722943,0.06808905380333952,0.15200216450216447,0.0,0.0,0.0,0.09935064935064933,0.4211864524364525,0.09935064935064933,0.38667752001085337,0.1278409090909091,0.38123487623487623,0.42459554334554334,0.10327380952380952,0.25512987012987015,0.4211864524364525,0.31454151908697364,0.11115921115921114,0.4119780219780219,0.10961538461538461,0.08095238095238096,0.35745550745550747,0.11965811965811965,0.09583333333333333,0.7123015873015872,0.09172077922077922,0.7195767195767195,0.6791383219954649,0.4772727272727273,0.6865079365079365,0.1069023569023569,1.0,0.6865079365079365,0.17734487734487733,0.4803391053391053,0.7239057239057238
GENE_D07,0.0,0.0,0.03333333333333333,0.09696969696969697,0.07272727272727272,0.1393939393939394,0.0,0.0,0.0,0.03333333333333333,0.062051282051282054,0.03333333333333333,0.04059829059829059,0.026666666666666665,0.044322344322344324,0.04871794871794871,0.0,0.028571428571428574,0.062051282051282054,0.10456487956487956,0.04312354312354313,0.4001665001665002,0.0441025641025641,0.03333333333333333,0.12426832426832428,0.04786324786324786,0.04,0.6805555555555556,0.0496969696969697,0.7666666666666666,0.75,0.5496969696969697,1.0,0.17676767676767677,0.6865079365079365,1.0,0.13257575757575757,0.6704545454545454,0.7803030303030303
GENE_D08,0.0,0.0,0.03571428571428571,0.07407407407407407,0.05555555555555555,0.45427350427350427,0.0,0.0,0.0,0.28173076923076923,0.30316239316239313,0.28173076923076923,0.537962962962963,0.5466666666666666,0.48049886621315185,0.5655555555555555,0.5538095238095238,0.46417233560090704,0.30316239316239313,0.03708791208791209,0.13333333333333333,0.07901622187336474,0.03076923076923077,0.038461538461538464,0.04945054945054945,0.04945054945054945,0.05934065934065934,0.09090909090909091,0.02857142857142857,0.12542087542087543,0.1111111111111111,0.5333333333333334,0.13257575757575757,0.6944444444444443,0.17734487734487733,0.13257575757575757,1.0,0.5662878787878788,0.4238215488215489
GENE_D09,0.0,0.0,0.0,0.1074074074074074,0.08055555555555555,0.473970473970474,0.0,0.0,0.0,0.038461538461538464,0.0641025641025641,0.038461538461538464,0.05555555555555555,0.04871794871794871,0.05860805860805861,0.06666666666666667,0.03333333333333333,0.03479853479853479,0.0641025641025641,0.07478632478632478,0.0,0.17765567765567766,0.03076923076923077,0.038461538461538464,0.09971509971509972,0.025641025641025644,0.03076923076923077,0.601010101010101,0.0,0.5279882154882155,0.38541666666666663,0.6153846153846153,0.6704545454545454,0.7272727272727272,0.4803391053391053,0.6704545454545454,0.5662878787878788,1.0,0.8125
