scientific_name,taxid,clade
Homo_sapiens,9606,Mammalia
Mus_musculus,10090,Mammalia
Rattus_norvegicus,10116,Mammalia
Bos_taurus,9913,Mammalia
Gallus_gallus,9031,Aves
Taeniopygia_guttata,59729,Aves
Meleagris_gallopavo,9103,Aves
Columba_livia,8932,Aves
Danio_rerio,7955,Actinopteri
Oryzias_latipes,8090,Actinopteri
Gasterosteus_aculeatus,69293,Actinopteri
Salmo_salar,8030,Actinopteri
Drosophila_melanogaster,7227,Arthropoda
Apis_mellifera,7460,Arthropoda
Anopheles_gambiae,7165,Arthropoda
Tribolium_castaneum,7070,Arthropoda
Saccharomyces_cerevisiae,4932,Ascomycota
Neurospora_crassa,5141,Ascomycota
Aspergillus_niger,5061,Ascomycota
Candida_albicans,5476,Ascomycota
